epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,305.853,1.35531,0.64439,1.26614,0.98225,1,0.995,0.57742,1.70583,0.69962,1.46126,0.00157925,0.00157925,0.00157925
87,309.345,1.31332,0.63356,1.24259,0.98563,1,0.995,0.52768,1.65007,0.62802,1.41303,0.0015743,0.0015743,0.0015743
88,313.048,1.40904,0.6543,1.27366,0.99112,1,0.995,0.56435,1.7538,0.63179,1.42936,0.00156935,0.00156935,0.00156935
89,316.557,1.31245,0.61285,1.20941,0.98035,1,0.995,0.53421,1.79318,0.67879,1.46278,0.0015644,0.0015644,0.0015644
90,320.055,1.34103,0.60097,1.22526,0.99056,1,0.995,0.52942,1.74795,0.63688,1.41222,0.00155945,0.00155945,0.00155945
91,323.591,1.35504,0.61917,1.25233,0.99319,1,0.995,0.56799,1.64441,0.64688,1.34028,0.0015545,0.0015545,0.0015545
92,327.076,1.26166,0.60086,1.19107,0.9935,1,0.995,0.52229,1.68342,0.6668,1.35713,0.00154955,0.00154955,0.00154955
93,330.557,1.29512,0.6064,1.20624,0.99409,1,0.995,0.5135,1.70416,0.60787,1.37323,0.0015446,0.0015446,0.0015446
94,334.043,1.33595,0.59033,1.24494,0.99407,1,0.995,0.56049,1.65078,0.58545,1.34587,0.00153965,0.00153965,0.00153965
95,337.762,1.32427,0.60151,1.21785,0.99342,1,0.995,0.55439,1.71153,0.62757,1.36948,0.0015347,0.0015347,0.0015347
96,341.264,1.31244,0.59908,1.21441,0.99038,1,0.995,0.56571,1.66854,0.58207,1.36493,0.00152975,0.00152975,0.00152975
97,344.771,1.38231,0.68771,1.27566,0.99547,1,0.995,0.57735,1.65099,0.60257,1.35293,0.0015248,0.0015248,0.0015248
98,348.294,1.25884,0.60413,1.20837,0.99296,1,0.995,0.57845,1.75184,0.63553,1.42634,0.00151985,0.00151985,0.00151985
99,351.785,1.2776,0.62679,1.1839,0.99371,1,0.995,0.56424,1.77945,0.65211,1.44932,0.0015149,0.0015149,0.0015149
100,355.295,1.25303,0.61266,1.20673,0.99383,1,0.995,0.60453,1.74555,0.65921,1.47062,0.00150995,0.00150995,0.00150995
101,358.828,1.38503,0.64192,1.26565,0.90403,1,0.995,0.57345,1.69398,0.7144,1.43857,0.001505,0.001505,0.001505
102,362.336,1.33945,0.62565,1.23901,0.98744,1,0.995,0.53335,1.75657,0.59691,1.47089,0.00150005,0.00150005,0.00150005
103,366.032,1.30475,0.59282,1.18983,0.99365,1,0.995,0.52682,1.65654,0.56131,1.44905,0.0014951,0.0014951,0.0014951
104,369.513,1.28196,0.58853,1.22176,0.99341,1,0.995,0.57047,1.65017,0.57057,1.37771,0.00149015,0.00149015,0.00149015
105,373.044,1.24883,0.58192,1.20621,0.99371,1,0.995,0.56099,1.70755,0.59223,1.41431,0.0014852,0.0014852,0.0014852
106,376.552,1.25304,0.60353,1.21189,0.9941,1,0.995,0.58047,1.63886,0.56549,1.37145,0.00148025,0.00148025,0.00148025
107,380.054,1.29062,0.59394,1.23107,0.99394,1,0.995,0.55818,1.73193,0.60767,1.4052,0.0014753,0.0014753,0.0014753
108,383.564,1.26665,0.61121,1.20669,0.99381,1,0.995,0.56227,1.69865,0.59884,1.408,0.00147035,0.00147035,0.00147035
109,387.331,1.25789,0.58118,1.20128,0.99392,1,0.995,0.58473,1.63888,0.57432,1.41196,0.0014654,0.0014654,0.0014654
110,390.831,1.31264,0.59326,1.22399,0.99393,1,0.995,0.59902,1.65562,0.57203,1.42647,0.00146045,0.00146045,0.00146045
111,394.33,1.20869,0.57409,1.18107,0.99413,1,0.995,0.55963,1.67723,0.61171,1.43552,0.0014555,0.0014555,0.0014555
112,397.816,1.29282,0.59274,1.20885,0.99491,1,0.995,0.58346,1.70895,0.59768,1.45782,0.00145055,0.00145055,0.00145055
113,401.301,1.32334,0.65309,1.26488,0.99376,1,0.995,0.61692,1.63563,0.59022,1.40177,0.0014456,0.0014456,0.0014456
114,404.809,1.25164,0.62946,1.18911,0.99361,1,0.995,0.59429,1.62857,0.56097,1.42789,0.00144065,0.00144065,0.00144065
115,408.296,1.24413,0.5829,1.18234,0.99438,1,0.995,0.58148,1.64999,0.61276,1.4451,0.0014357,0.0014357,0.0014357
116,411.783,1.29487,0.61678,1.23651,0.99403,1,0.995,0.58013,1.80794,0.62653,1.55717,0.00143075,0.00143075,0.00143075
117,415.471,1.21339,0.59375,1.19051,0.99376,1,0.995,0.55625,1.79738,0.61839,1.54508,0.0014258,0.0014258,0.0014258
118,418.97,1.25435,0.59319,1.20721,0.99384,1,0.995,0.58033,1.59268,0.55721,1.47373,0.00142085,0.00142085,0.00142085
119,422.467,1.26726,0.57992,1.22402,0.94399,1,0.995,0.52515,1.58084,0.63619,1.47576,0.0014159,0.0014159,0.0014159
120,425.959,1.22479,0.58309,1.19573,0.99261,1,0.995,0.53786,1.74255,0.66342,1.5275,0.00141095,0.00141095,0.00141095
121,429.47,1.15297,0.6907,1.114,0.99265,1,0.995,0.49328,1.75667,0.62049,1.48484,0.001406,0.001406,0.001406
122,432.96,1.22733,0.59209,1.17173,0.99742,1,0.995,0.59402,1.60222,0.57029,1.44097,0.00140105,0.00140105,0.00140105
123,436.681,1.26633,0.63543,1.22819,0.98517,0.9,0.95056,0.60256,1.51638,0.72724,1.39838,0.0013961,0.0013961,0.0013961
124,440.194,1.21508,0.59655,1.1992,0.9817,0.9,0.95056,0.48121,1.81183,0.82089,1.53854,0.00139115,0.00139115,0.00139115
125,443.717,1.24782,0.57795,1.21327,0.9941,1,0.995,0.53399,1.70071,0.57192,1.48977,0.0013862,0.0013862,0.0013862
126,447.251,1.21118,0.56999,1.18855,0.99305,1,0.995,0.6031,1.65839,0.56299,1.45501,0.00138125,0.00138125,0.00138125
127,450.806,1.20906,0.59729,1.22029,0.99426,1,0.995,0.59476,1.6554,0.56599,1.42492,0.0013763,0.0013763,0.0013763
128,454.362,1.29164,0.60658,1.21497,0.9938,1,0.995,0.58613,1.6148,0.55439,1.38614,0.00137135,0.00137135,0.00137135
129,457.851,1.19172,0.56122,1.18642,0.99342,1,0.995,0.5494,1.62255,0.58341,1.42279,0.0013664,0.0013664,0.0013664
130,461.343,1.21753,0.57993,1.19777,0.99401,1,0.995,0.52036,1.7257,0.55409,1.4585,0.00136145,0.00136145,0.00136145
131,465.031,1.21718,0.56088,1.19453,0.9939,1,0.995,0.52131,1.7632,0.59986,1.48215,0.0013565,0.0013565,0.0013565
132,468.562,1.25261,0.58402,1.19667,0.9941,1,0.995,0.57458,1.72451,0.61424,1.45016,0.00135155,0.00135155,0.00135155
133,472.064,1.2678,0.58388,1.21431,0.99466,1,0.995,0.54244,1.70246,0.61449,1.42545,0.0013466,0.0013466,0.0013466
134,475.56,1.17533,0.55804,1.16604,0.99315,1,0.995,0.60649,1.61208,0.56591,1.386,0.00134165,0.00134165,0.00134165
135,479.052,1.179,0.5341,1.1491,1,0.9933,0.995,0.60822,1.63208,0.57934,1.36553,0.0013367,0.0013367,0.0013367
136,482.552,1.1808,0.54761,1.16309,0.99466,1,0.995,0.57905,1.5802,0.61992,1.30995,0.00133175,0.00133175,0.00133175
137,486.271,1.18528,0.56993,1.16424,0.99456,1,0.995,0.61377,1.53753,0.60112,1.32109,0.0013268,0.0013268,0.0013268
138,489.747,1.2074,0.58211,1.17763,0.99395,1,0.995,0.58865,1.63181,0.6646,1.38016,0.00132185,0.00132185,0.00132185
139,493.258,1.17313,0.5549,1.17571,0.99387,1,0.995,0.52115,1.8698,0.65707,1.53834,0.0013169,0.0013169,0.0013169
140,496.748,1.15743,0.56858,1.16127,0.99414,1,0.995,0.54441,1.72578,0.62474,1.45698,0.00131195,0.00131195,0.00131195
141,500.255,1.21461,0.58719,1.20779,0.99421,1,0.995,0.58025,1.69898,0.6097,1.45542,0.001307,0.001307,0.001307
142,503.781,1.19311,0.5513,1.16904,0.99417,1,0.995,0.56539,1.71801,0.56874,1.49246,0.00130205,0.00130205,0.00130205
143,507.326,1.11807,0.52676,1.13514,0.99421,1,0.995,0.57818,1.57202,0.58503,1.39536,0.0012971,0.0012971,0.0012971
144,510.897,1.09321,0.54895,1.1406,0.99361,1,0.995,0.56922,1.64044,0.62523,1.42504,0.00129215,0.00129215,0.00129215
145,514.619,1.16036,0.55623,1.16456,0.99432,1,0.995,0.50995,1.63055,0.62589,1.40904,0.0012872,0.0012872,0.0012872
146,518.114,1.12953,0.56763,1.14802,0.99396,1,0.995,0.54405,1.66087,0.57854,1.43408,0.00128225,0.00128225,0.00128225
147,521.612,1.13555,0.54429,1.16409,0.99385,1,0.995,0.5531,1.71069,0.5551,1.46126,0.0012773,0.0012773,0.0012773
148,525.097,1.12281,0.50931,1.1461,0.99384,1,0.995,0.55406,1.74246,0.5456,1.48364,0.00127235,0.00127235,0.00127235
149,528.589,1.13796,0.53809,1.13579,0.9938,1,0.995,0.52918,1.70342,0.53891,1.43562,0.0012674,0.0012674,0.0012674
150,532.074,1.11799,0.53272,1.12998,0.99426,1,0.995,0.52255,1.71289,0.5634,1.42514,0.00126245,0.00126245,0.00126245
151,535.733,1.11214,0.51659,1.13589,0.99422,1,0.995,0.5046,1.77714,0.6099,1.46818,0.0012575,0.0012575,0.0012575
152,539.216,1.10126,0.52266,1.11607,0.99427,1,0.995,0.54192,1.68144,0.56285,1.43534,0.00125255,0.00125255,0.00125255
153,542.73,1.08752,0.51903,1.12642,0.99278,1,0.995,0.52557,1.65177,0.54083,1.42462,0.0012476,0.0012476,0.0012476
154,546.298,1.15237,0.4922,1.13338,0.98896,1,0.995,0.50191,1.77987,0.76836,1.47204,0.00124265,0.00124265,0.00124265
155,549.815,1.12942,0.52926,1.15005,0.99343,1,0.995,0.54795,1.74383,0.6804,1.47447,0.0012377,0.0012377,0.0012377
156,553.361,1.09422,0.52758,1.12945,0.99394,1,0.995,0.56288,1.71246,0.60345,1.48386,0.00123275,0.00123275,0.00123275
157,556.869,1.12458,0.52267,1.14464,0.99391,1,0.995,0.55644,1.70442,0.56607,1.46261,0.0012278,0.0012278,0.0012278
158,560.578,1.16881,0.56169,1.14074,1,1,0.995,0.59744,1.6604,0.5624,1.43727,0.00122285,0.00122285,0.00122285
159,564.091,1.0584,0.49471,1.10231,1,1,0.995,0.57073,1.69601,0.56061,1.44155,0.0012179,0.0012179,0.0012179
160,567.597,1.19482,0.5456,1.18523,1,1,0.995,0.57182,1.72203,0.56556,1.41707,0.00121295,0.00121295,0.00121295
161,571.121,1.12863,0.5349,1.13014,1,1,0.995,0.54616,1.67077,0.56272,1.47143,0.001208,0.001208,0.001208
162,574.629,1.12287,0.54486,1.13753,0.99437,1,0.995,0.55806,1.59679,0.56729,1.41934,0.00120305,0.00120305,0.00120305
163,578.142,1.13107,0.54186,1.15094,0.99291,1,0.995,0.57078,1.57755,0.5429,1.378,0.0011981,0.0011981,0.0011981
