obs_index	inference_time_sec	image_proc_time_sec
459	0.459913	0.030937
460	0.532447	0.017035
461	0.390184	0.01505
462	0.721173	0.018417
463	0.49356	0.014105
464	0.495391	0.015982
465	0.402928	0.023924
466	0.510087	0.014542
467	0.445445	0.01398
468	0.414389	0.019245
469	0.545984	0.017467
470	0.508444	0.020037
471	0.620375	0.020173
472	0.451033	0.014264
473	0.524704	0.018607
474	0.557041	0.018505
475	0.51556	0.017226
476	0.493647	0.022344
477	0.486734	0.040458
478	0.640922	0.019769
479	0.558839	0.015564
480	0.671807	0.016065
481	0.494339	0.020059
482	0.403009	0.026456
483	0.478635	0.015866
484	0.497575	0.021837
485	0.49907	0.013602
486	0.509717	0.021162
487	0.436173	0.018627
488	0.408477	0.017285
489	0.70485	0.017817
490	0.389934	0.013917
491	0.361731	0.021612
492	0.618038	0.029721
493	0.402575	0.015536
494	0.452619	0.017274
495	0.536525	0.025694
496	0.416264	0.017955
497	0.526545	0.017596
498	0.451218	0.014487
499	0.556486	0.027796
500	0.48004	0.017054
501	0.447063	0.016002
502	0.40735	0.01773
503	0.487145	0.016289
504	0.374549	0.013274
505	0.426736	0.012959
506	0.427286	0.012009
507	0.332621	0.010369
508	0.456545	0.017505
509	0.400398	0.014629
510	0.373612	0.017192
511	0.369165	0.011041
512	0.375969	0.012612
513	0.376719	0.021566
514	0.427124	0.015846
515	0.477857	0.013702
516	0.538328	0.019969
517	0.437163	0.014599
518	0.484156	0.019149
519	0.378465	0.010637
520	0.469929	0.01843
521	0.628544	0.018399
522	0.514019	0.019786
523	0.433706	0.016039
524	0.432953	0.013788
525	0.349292	0.012009
526	0.531715	0.018025
527	0.349519	0.011623
528	0.406139	0.011877
529	0.547749	0.02104
530	0.356721	0.011272
531	0.624359	0.022984
532	0.40558	0.015313
533	0.479115	0.01325
534	0.525804	0.017076
535	0.35365	0.012309
536	0.345461	0.015364
537	0.423241	0.018126
538	0.474328	0.01399
539	0.713044	0.023515
540	0.59368	0.024033
541	0.74511	0.018735
542	0.505945	0.018347
543	0.718429	0.027929
544	0.589173	0.02136
545	0.979981	0.019066
546	0.574779	0.026147
547	0.560613	0.016288
548	0.688889	0.021162
549	0.733675	0.03158
550	0.593197	0.016623
551	1.079697	0.026833
552	0.48394	0.017459
553	0.459825	0.0178
554	0.544719	0.013366
555	0.860706	0.032535
556	0.90965	0.025066
557	1.368349	0.027833
558	0.962024	0.022013
559	1.165395	0.028327
560	1.113556	0.026951
561	0.723653	0.034376
562	0.745485	0.015722
563	1.17041	0.04543
564	1.132401	0.043803
565	1.423477	0.032628
566	0.754649	0.037718
567	1.010351	0.023073
568	0.951227	0.040876
569	0.983217	0.060219
570	0.696759	0.028589
571	0.648916	0.015695
572	0.660092	0.023439
573	1.046829	0.03249
574	1.55866	0.017294
575	1.382644	0.060441
576	1.072744	0.02125
577	0.571672	0.016024
578	1.165752	0.01611
579	0.935182	0.015928
580	1.242707	0.030303
581	0.942648	0.019034
582	0.86205	0.021705
583	0.699792	0.028145
584	1.019334	0.026492
585	0.947463	0.030776
586	1.072516	0.026144
587	0.753535	0.038572
588	0.773797	0.023508
589	0.730898	0.03563
590	1.18969	0.01973
591	0.914457	0.029346
592	1.0589	0.019966
593	0.957846	0.034816
594	1.006667	0.036227
595	0.649814	0.026438
596	1.061353	0.026893
597	0.909606	0.020899
598	0.71177	0.027154
599	1.15743	0.030272
600	0.511668	0.01647
601	0.703633	0.019567
602	0.984715	0.016288
603	0.849689	0.020178
604	0.602275	0.024836
605	0.758413	0.034702
606	0.939359	0.031222
607	0.727729	0.029904
608	0.882497	0.01613
609	0.930109	0.02726
610	0.648662	0.029286
611	1.168461	0.022332
612	1.131215	0.021103
613	0.643447	0.015455
614	0.983774	0.027836
615	1.017837	0.039407
616	1.836283	0.032066
617	1.103817	0.042896
618	1.178866	0.029557
619	0.545169	0.045003
620	0.714334	0.017899
621	0.87325	0.025543
622	1.037886	0.04092
623	1.013039	0.025475
624	0.643432	0.037267
625	0.899427	0.025227
626	0.631414	0.025335
627	0.794999	0.030953
628	1.000232	0.014692
629	1.24558	0.027752
630	1.576902	0.030757
631	0.669372	0.015447
632	1.212149	0.024156
633	1.147953	0.027823
634	1.018659	0.025065
635	0.78308	0.030826
636	1.425309	0.032729
637	1.023184	0.037217
638	1.247152	0.024681
639	0.881732	0.029886
640	1.370912	0.050784
641	0.637335	0.02046
642	0.781729	0.025568
643	1.197645	0.058763
644	0.606531	0.018705
645	0.698063	0.018145
646	0.748731	0.024967
647	0.709668	0.015975
648	0.750745	0.027251
649	0.687226	0.017434
650	0.890458	0.043602
651	0.540276	0.017687
652	0.769733	0.018411
653	0.703058	0.019523
654	1.524394	0.030736
655	0.96548	0.052558
656	1.367119	0.038625
657	1.257183	0.054595
658	0.784398	0.02344
659	1.262594	0.020087
660	1.453375	0.04926
661	0.717491	0.041807
662	1.053496	0.042583
663	0.947383	0.034813
664	1.13131	0.027112
665	1.299502	0.031064
666	0.734207	0.035683
667	1.157025	0.026583
668	0.716986	0.019757
669	1.212424	0.030689
670	1.026541	0.029032
671	1.214945	0.030058
672	1.006599	0.023892
673	0.736677	0.031464
674	0.708159	0.019945
675	0.853605	0.029914
676	0.698851	0.027461
677	0.932986	0.026617
678	0.980006	0.020265
679	0.723453	0.021257
680	0.545049	0.025652
681	0.923878	0.019572
682	1.078112	0.023957
683	0.847177	0.02312
684	1.42177	0.041653
685	1.059361	0.02518
686	0.971776	0.045998
687	1.142097	0.042893
688	0.685388	0.031619
689	0.882134	0.015869
690	1.057647	0.030422
691	1.002814	0.020736
692	0.809531	0.024962
693	0.56473	0.025086
694	0.653553	0.028627
695	0.735368	0.019926
696	0.773724	0.020562
697	0.622397	0.026393
698	1.322962	0.037127
699	0.8267	0.022912
700	0.536026	0.016067
701	1.151457	0.031611
702	0.592692	0.023065
703	0.939841	0.016461
704	0.704594	0.035646
705	0.642715	0.01625
706	0.969655	0.031339
707	0.656218	0.024939
708	1.342817	0.062364
709	0.766531	0.035189
710	0.701489	0.027817
711	1.43044	0.041254
712	1.416138	0.041409
713	0.605921	0.033859
714	0.813269	0.03095
715	0.559124	0.017658
716	0.932846	0.01572
717	1.263893	0.027114
718	0.99057	0.027723
719	0.589844	0.035334
720	1.001099	0.026609
721	1.206572	0.034993
722	1.371902	0.033863
723	1.048372	0.027717
724	1.187188	0.022452
725	1.144869	0.023864
726	1.134399	0.022065
727	0.826675	0.037173
728	1.328228	0.036992
729	0.786276	0.026235
730	0.972349	0.024797
731	0.806007	0.028472
732	0.826571	0.023291
733	0.834401	0.026773
734	1.215159	0.034919
735	1.265329	0.021923
736	1.582017	0.032595
737	0.90446	0.046136
738	0.895811	0.025645
